human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveWest;(2, 4);1;1
;(2, 4);1;2
;(2, 4);1;3
;(2, 4);1;4
;(2, 4);1;5
;(2, 4);1;6
;(2, 4);1;7
;(2, 4);1;8
;(2, 4);1;9
;(2, 4);1;10
;(2, 4);1;11
;(2, 4);1;12
;(2, 4);1;13
;(2, 4);1;14
;(2, 4);1;15
;(2, 4);1;16
;(2, 4);1;17
;(2, 4);1;18
;(2, 4);1;19
;(2, 4);1;20
;(2, 4);1;21
;(2, 4);1;22
;(2, 4);1;23
;(2, 4);1;24
;(2, 4);1;25
;(2, 4);1;26
;(2, 4);1;27
;(2, 4);1;28
;(2, 4);1;29
;(2, 4);1;30
;(2, 4);1;31
;(2, 4);1;32
;(2, 4);1;33
;(2, 4);1;34
;(2, 4);1;35
;(2, 4);1;36
;(2, 4);1;37
;(2, 4);1;38
;(2, 4);1;39
MoveNorth;(2, 3);1;40
;(2, 3);1;41
;(2, 3);1;42
MoveEast;(3, 3);1;43
;(3, 3);1;44
;(3, 3);1;45
;(3, 3);1;46
;(3, 3);1;47
;(3, 3);1;48
;(3, 3);1;49
;(3, 3);1;50
;(3, 3);1;51
;(3, 3);1;52
;(3, 3);1;53
;(3, 3);1;54
MoveEast;(4, 3);1;55
;(4, 3);1;56
;(4, 3);1;57
;(4, 3);1;58
;(4, 3);1;59
;(4, 3);1;60
;(4, 3);1;61
;(4, 3);1;62
;(4, 3);1;63
;(4, 3);1;64
MoveEast;(5, 3);1;65
MoveEast;(6, 3);1;66
MoveEast;(7, 3);1;67
MoveEast;(8, 3);1;68
MoveEast;(9, 3);1;69
MoveEast;(10, 3);1;70
;(10, 3);1;71
;(10, 3);1;72
;(10, 3);1;73
MoveSouth;(10, 4);1;74
;(10, 4);1;75
;(10, 4);1;76
;(10, 4);1;77
;(10, 4);1;78
;(10, 4);1;79
;(10, 4);1;80
;(10, 4);1;81
;(10, 4);1;82
;(10, 4);1;83
;(10, 4);1;84
MoveWest;(9, 4);1;85
;(9, 4);1;86
;(9, 4);1;87
;(9, 4);1;88
;(9, 4);1;89
;(9, 4);1;90
;(9, 4);1;91
;(9, 4);1;92
;(9, 4);1;93
MoveSouth;(9, 5);1;94
;(9, 5);1;95
;(9, 5);1;96
;(9, 5);1;97
;(9, 5);1;98
;(9, 5);1;99
;(9, 5);1;100
;(9, 5);1;101
;(9, 5);1;102
;(9, 5);1;103
;(9, 5);1;104
;(9, 5);1;105
;(9, 5);1;106
;(9, 5);1;107
;(9, 5);1;108
;(9, 5);1;109
;(9, 5);1;110
;(9, 5);1;111
