human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
;(3, 4);1;1
;(3, 4);1;2
;(3, 4);1;3
;(3, 4);1;4
;(3, 4);1;5
;(3, 4);1;6
;(3, 4);1;7
;(3, 4);1;8
;(3, 4);1;9
;(3, 4);1;10
;(3, 4);1;11
;(3, 4);1;12
;(3, 4);1;13
;(3, 4);1;14
;(3, 4);1;15
;(3, 4);1;16
;(3, 4);1;17
;(3, 4);1;18
;(3, 4);1;19
;(3, 4);1;20
;(3, 4);1;21
;(3, 4);1;22
;(3, 4);1;23
;(3, 4);1;24
;(3, 4);1;25
;(3, 4);1;26
;(3, 4);1;27
;(3, 4);1;28
;(3, 4);1;29
;(3, 4);1;30
;(3, 4);1;31
;(3, 4);1;32
;(3, 4);1;33
;(3, 4);1;34
;(3, 4);1;35
;(3, 4);1;36
;(3, 4);1;37
;(3, 4);1;38
;(3, 4);1;39
;(3, 4);1;40
;(3, 4);1;41
;(3, 4);1;42
;(3, 4);1;43
;(3, 4);1;44
;(3, 4);1;45
;(3, 4);1;46
;(3, 4);1;47
;(3, 4);1;48
;(3, 4);1;49
;(3, 4);1;50
;(3, 4);1;51
;(3, 4);1;52
;(3, 4);1;53
;(3, 4);1;54
;(3, 4);1;55
;(3, 4);1;56
;(3, 4);1;57
;(3, 4);1;58
;(3, 4);1;59
;(3, 4);1;60
;(3, 4);1;61
;(3, 4);1;62
;(3, 4);1;63
;(3, 4);1;64
;(3, 4);1;65
;(3, 4);1;66
;(3, 4);1;67
;(3, 4);1;68
;(3, 4);1;69
;(3, 4);1;70
;(3, 4);1;71
;(3, 4);1;72
;(3, 4);1;73
;(3, 4);1;74
;(3, 4);1;75
;(3, 4);1;76
;(3, 4);1;77
;(3, 4);1;78
;(3, 4);1;79
;(3, 4);1;80
;(3, 4);1;81
;(3, 4);1;82
;(3, 4);1;83
;(3, 4);1;84
;(3, 4);1;85
;(3, 4);1;86
;(3, 4);1;87
;(3, 4);1;88
;(3, 4);1;89
;(3, 4);1;90
;(3, 4);1;91
;(3, 4);1;92
;(3, 4);1;93
;(3, 4);1;94
;(3, 4);1;95
;(3, 4);1;96
;(3, 4);1;97
;(3, 4);1;98
;(3, 4);1;99
;(3, 4);1;100
;(3, 4);1;101
;(3, 4);1;102
;(3, 4);1;103
;(3, 4);1;104
;(3, 4);1;105
;(3, 4);1;106
;(3, 4);1;107
;(3, 4);1;108
;(3, 4);1;109
;(3, 4);1;110
;(3, 4);1;111
;(3, 4);1;112
;(3, 4);1;113
;(3, 4);1;114
;(3, 4);1;115
;(3, 4);1;116
;(3, 4);1;117
;(3, 4);1;118
;(3, 4);1;119
;(3, 4);1;120
;(3, 4);1;121
;(3, 4);1;122
;(3, 4);1;123
;(3, 4);1;124
;(3, 4);1;125
MoveEast;(4, 4);1;126
;(4, 4);1;127
;(4, 4);1;128
;(4, 4);1;129
;(4, 4);1;130
;(4, 4);1;131
MoveEast;(5, 4);1;132
;(5, 4);1;133
;(5, 4);1;134
;(5, 4);1;135
;(5, 4);1;136
;(5, 4);1;137
;(5, 4);1;138
MoveEast;(6, 4);1;139
;(6, 4);1;140
;(6, 4);1;141
MoveEast;(7, 4);1;142
;(7, 4);1;143
;(7, 4);1;144
MoveEast;(8, 4);1;145
;(8, 4);1;146
;(8, 4);1;147
;(8, 4);1;148
;(8, 4);1;149
;(8, 4);1;150
MoveEast;(9, 4);1;151
;(9, 4);1;152
;(9, 4);1;153
;(9, 4);1;154
;(9, 4);1;155
;(9, 4);1;156
;(9, 4);1;157
;(9, 4);1;158
;(9, 4);1;159
MoveEast;(10, 4);1;160
;(10, 4);1;161
;(10, 4);1;162
;(10, 4);1;163
;(10, 4);1;164
;(10, 4);1;165
;(10, 4);1;166
;(10, 4);1;167
;(10, 4);1;168
;(10, 4);1;169
;(10, 4);1;170
;(10, 4);1;171
;(10, 4);1;172
;(10, 4);1;173
;(10, 4);1;174
;(10, 4);1;175
;(10, 4);1;176
;(10, 4);1;177
;(10, 4);1;178
;(10, 4);1;179
MoveWest;(9, 4);1;180
;(9, 4);1;181
;(9, 4);1;182
;(9, 4);1;183
;(9, 4);1;184
;(9, 4);1;185
;(9, 4);1;186
;(9, 4);1;187
;(9, 4);1;188
;(9, 4);1;189
;(9, 4);1;190
;(9, 4);1;191
;(9, 4);1;192
;(9, 4);1;193
;(9, 4);1;194
;(9, 4);1;195
;(9, 4);1;196
;(9, 4);1;197
;(9, 4);1;198
;(9, 4);1;199
;(9, 4);1;200
;(9, 4);1;201
;(9, 4);1;202
;(9, 4);1;203
;(9, 4);1;204
;(9, 4);1;205
;(9, 4);1;206
;(9, 4);1;207
;(9, 4);1;208
;(9, 4);1;209
;(9, 4);1;210
;(9, 4);1;211
;(9, 4);1;212
;(9, 4);1;213
;(9, 4);1;214
;(9, 4);1;215
;(9, 4);1;216
;(9, 4);1;217
;(9, 4);1;218
;(9, 4);1;219
;(9, 4);1;220
;(9, 4);1;221
;(9, 4);1;222
;(9, 4);1;223
;(9, 4);1;224
;(9, 4);1;225
;(9, 4);1;226
;(9, 4);1;227
;(9, 4);1;228
;(9, 4);1;229
;(9, 4);1;230
;(9, 4);1;231
;(9, 4);1;232
;(9, 4);1;233
;(9, 4);1;234
;(9, 4);1;235
;(9, 4);1;236
;(9, 4);1;237
;(9, 4);1;238
;(9, 4);1;239
;(9, 4);1;240
;(9, 4);1;241
;(9, 4);1;242
;(9, 4);1;243
;(9, 4);1;244
;(9, 4);1;245
;(9, 4);1;246
;(9, 4);1;247
;(9, 4);1;248
;(9, 4);1;249
;(9, 4);1;250
;(9, 4);1;251
;(9, 4);1;252
;(9, 4);1;253
;(9, 4);1;254
;(9, 4);1;255
;(9, 4);1;256
;(9, 4);1;257
;(9, 4);1;258
;(9, 4);1;259
;(9, 4);1;260
;(9, 4);1;261
;(9, 4);1;262
;(9, 4);1;263
;(9, 4);1;264
;(9, 4);1;265
;(9, 4);1;266
;(9, 4);1;267
;(9, 4);1;268
;(9, 4);1;269
;(9, 4);1;270
;(9, 4);1;271
;(9, 4);1;272
;(9, 4);1;273
;(9, 4);1;274
;(9, 4);1;275
;(9, 4);1;276
;(9, 4);1;277
;(9, 4);1;278
;(9, 4);1;279
;(9, 4);1;280
MoveNorth;(9, 3);1;281
;(9, 3);1;282
;(9, 3);1;283
;(9, 3);1;284
;(9, 3);1;285
;(9, 3);1;286
;(9, 3);1;287
;(9, 3);1;288
;(9, 3);1;289
;(9, 3);1;290
;(9, 3);1;291
;(9, 3);1;292
;(9, 3);1;293
;(9, 3);1;294
;(9, 3);1;295
;(9, 3);1;296
;(9, 3);1;297
;(9, 3);1;298
;(9, 3);1;299
;(9, 3);1;300
;(9, 3);1;301
;(9, 3);1;302
;(9, 3);1;303
;(9, 3);1;304
;(9, 3);1;305
;(9, 3);1;306
MoveSouth;(9, 4);1;307
;(9, 4);1;308
;(9, 4);1;309
;(9, 4);1;310
;(9, 4);1;311
;(9, 4);1;312
;(9, 4);1;313
;(9, 4);1;314
;(9, 4);1;315
;(9, 4);1;316
;(9, 4);1;317
MoveEast;(10, 4);1;318
;(10, 4);1;319
;(10, 4);1;320
;(10, 4);1;321
;(10, 4);1;322
;(10, 4);1;323
;(10, 4);1;324
;(10, 4);1;325
;(10, 4);1;326
;(10, 4);1;327
;(10, 4);1;328
;(10, 4);1;329
;(10, 4);1;330
;(10, 4);1;331
;(10, 4);1;332
;(10, 4);1;333
;(10, 4);1;334
;(10, 4);1;335
;(10, 4);1;336
;(10, 4);1;337
;(10, 4);1;338
;(10, 4);1;339
;(10, 4);1;340
;(10, 4);1;341
;(10, 4);1;342
;(10, 4);1;343
;(10, 4);1;344
;(10, 4);1;345
;(10, 4);1;346
;(10, 4);1;347
;(10, 4);1;348
;(10, 4);1;349
;(10, 4);1;350
;(10, 4);1;351
;(10, 4);1;352
;(10, 4);1;353
;(10, 4);1;354
;(10, 4);1;355
;(10, 4);1;356
;(10, 4);1;357
;(10, 4);1;358
;(10, 4);1;359
;(10, 4);1;360
;(10, 4);1;361
;(10, 4);1;362
;(10, 4);1;363
;(10, 4);1;364
;(10, 4);1;365
;(10, 4);1;366
;(10, 4);1;367
;(10, 4);1;368
;(10, 4);1;369
;(10, 4);1;370
;(10, 4);1;371
;(10, 4);1;372
;(10, 4);1;373
;(10, 4);1;374
;(10, 4);1;375
;(10, 4);1;376
;(10, 4);1;377
;(10, 4);1;378
;(10, 4);1;379
;(10, 4);1;380
;(10, 4);1;381
;(10, 4);1;382
;(10, 4);1;383
;(10, 4);1;384
;(10, 4);1;385
;(10, 4);1;386
;(10, 4);1;387
;(10, 4);1;388
;(10, 4);1;389
;(10, 4);1;390
;(10, 4);1;391
;(10, 4);1;392
;(10, 4);1;393
;(10, 4);1;394
;(10, 4);1;395
;(10, 4);1;396
;(10, 4);1;397
;(10, 4);1;398
;(10, 4);1;399
;(10, 4);1;400
