human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
;(3, 4);1;1
;(3, 4);1;2
;(3, 4);1;3
;(3, 4);1;4
;(3, 4);1;5
;(3, 4);1;6
;(3, 4);1;7
;(3, 4);1;8
;(3, 4);1;9
;(3, 4);1;10
;(3, 4);1;11
;(3, 4);1;12
;(3, 4);1;13
;(3, 4);1;14
;(3, 4);1;15
;(3, 4);1;16
;(3, 4);1;17
;(3, 4);1;18
;(3, 4);1;19
;(3, 4);1;20
;(3, 4);1;21
;(3, 4);1;22
;(3, 4);1;23
;(3, 4);1;24
;(3, 4);1;25
;(3, 4);1;26
;(3, 4);1;27
;(3, 4);1;28
;(3, 4);1;29
;(3, 4);1;30
;(3, 4);1;31
;(3, 4);1;32
;(3, 4);1;33
;(3, 4);1;34
;(3, 4);1;35
;(3, 4);1;36
;(3, 4);1;37
;(3, 4);1;38
;(3, 4);1;39
;(3, 4);1;40
;(3, 4);1;41
;(3, 4);1;42
;(3, 4);1;43
;(3, 4);1;44
;(3, 4);1;45
;(3, 4);1;46
;(3, 4);1;47
;(3, 4);1;48
;(3, 4);1;49
;(3, 4);1;50
;(3, 4);1;51
;(3, 4);1;52
;(3, 4);1;53
;(3, 4);1;54
;(3, 4);1;55
;(3, 4);1;56
;(3, 4);1;57
;(3, 4);1;58
;(3, 4);1;59
;(3, 4);1;60
;(3, 4);1;61
;(3, 4);1;62
;(3, 4);1;63
;(3, 4);1;64
;(3, 4);1;65
;(3, 4);1;66
;(3, 4);1;67
;(3, 4);1;68
;(3, 4);1;69
;(3, 4);1;70
;(3, 4);1;71
;(3, 4);1;72
;(3, 4);1;73
;(3, 4);1;74
;(3, 4);1;75
;(3, 4);1;76
;(3, 4);1;77
;(3, 4);1;78
;(3, 4);1;79
;(3, 4);1;80
;(3, 4);1;81
;(3, 4);1;82
;(3, 4);1;83
;(3, 4);1;84
;(3, 4);1;85
;(3, 4);1;86
;(3, 4);1;87
;(3, 4);1;88
;(3, 4);1;89
;(3, 4);1;90
;(3, 4);1;91
;(3, 4);1;92
;(3, 4);1;93
;(3, 4);1;94
;(3, 4);1;95
;(3, 4);1;96
;(3, 4);1;97
;(3, 4);1;98
;(3, 4);1;99
;(3, 4);1;100
;(3, 4);1;101
;(3, 4);1;102
;(3, 4);1;103
;(3, 4);1;104
;(3, 4);1;105
;(3, 4);1;106
;(3, 4);1;107
;(3, 4);1;108
;(3, 4);1;109
;(3, 4);1;110
;(3, 4);1;111
;(3, 4);1;112
;(3, 4);1;113
;(3, 4);1;114
;(3, 4);1;115
;(3, 4);1;116
;(3, 4);1;117
;(3, 4);1;118
;(3, 4);1;119
;(3, 4);1;120
;(3, 4);1;121
;(3, 4);1;122
;(3, 4);1;123
;(3, 4);1;124
;(3, 4);1;125
;(3, 4);1;126
;(3, 4);1;127
;(3, 4);1;128
;(3, 4);1;129
;(3, 4);1;130
;(3, 4);1;131
;(3, 4);1;132
;(3, 4);1;133
;(3, 4);1;134
;(3, 4);1;135
;(3, 4);1;136
;(3, 4);1;137
;(3, 4);1;138
;(3, 4);1;139
;(3, 4);1;140
;(3, 4);1;141
;(3, 4);1;142
;(3, 4);1;143
;(3, 4);1;144
;(3, 4);1;145
;(3, 4);1;146
;(3, 4);1;147
;(3, 4);1;148
;(3, 4);1;149
;(3, 4);1;150
;(3, 4);1;151
;(3, 4);1;152
;(3, 4);1;153
;(3, 4);1;154
;(3, 4);1;155
;(3, 4);1;156
;(3, 4);1;157
;(3, 4);1;158
;(3, 4);1;159
;(3, 4);1;160
;(3, 4);1;161
;(3, 4);1;162
;(3, 4);1;163
;(3, 4);1;164
;(3, 4);1;165
;(3, 4);1;166
;(3, 4);1;167
;(3, 4);1;168
;(3, 4);1;169
;(3, 4);1;170
;(3, 4);1;171
;(3, 4);1;172
;(3, 4);1;173
;(3, 4);1;174
;(3, 4);1;175
;(3, 4);1;176
;(3, 4);1;177
;(3, 4);1;178
;(3, 4);1;179
;(3, 4);1;180
;(3, 4);1;181
;(3, 4);1;182
;(3, 4);1;183
;(3, 4);1;184
;(3, 4);1;185
;(3, 4);1;186
;(3, 4);1;187
MoveEast;(4, 4);1;188
;(4, 4);1;189
MoveNorth;(4, 3);1;190
;(4, 3);1;191
;(4, 3);1;192
;(4, 3);1;193
;(4, 3);1;194
;(4, 3);1;195
;(4, 3);1;196
;(4, 3);1;197
;(4, 3);1;198
;(4, 3);1;199
;(4, 3);1;200
;(4, 3);1;201
;(4, 3);1;202
;(4, 3);1;203
;(4, 3);1;204
;(4, 3);1;205
;(4, 3);1;206
;(4, 3);1;207
;(4, 3);1;208
;(4, 3);1;209
;(4, 3);1;210
;(4, 3);1;211
;(4, 3);1;212
;(4, 3);1;213
;(4, 3);1;214
;(4, 3);1;215
;(4, 3);1;216
;(4, 3);1;217
;(4, 3);1;218
;(4, 3);1;219
;(4, 3);1;220
;(4, 3);1;221
;(4, 3);1;222
;(4, 3);1;223
;(4, 3);1;224
;(4, 3);1;225
;(4, 3);1;226
;(4, 3);1;227
;(4, 3);1;228
;(4, 3);1;229
;(4, 3);1;230
;(4, 3);1;231
;(4, 3);1;232
;(4, 3);1;233
;(4, 3);1;234
;(4, 3);1;235
;(4, 3);1;236
;(4, 3);1;237
;(4, 3);1;238
;(4, 3);1;239
;(4, 3);1;240
;(4, 3);1;241
;(4, 3);1;242
;(4, 3);1;243
;(4, 3);1;244
;(4, 3);1;245
;(4, 3);1;246
;(4, 3);1;247
;(4, 3);1;248
;(4, 3);1;249
;(4, 3);1;250
;(4, 3);1;251
;(4, 3);1;252
;(4, 3);1;253
;(4, 3);1;254
;(4, 3);1;255
;(4, 3);1;256
;(4, 3);1;257
;(4, 3);1;258
;(4, 3);1;259
;(4, 3);1;260
;(4, 3);1;261
;(4, 3);1;262
;(4, 3);1;263
;(4, 3);1;264
;(4, 3);1;265
;(4, 3);1;266
;(4, 3);1;267
;(4, 3);1;268
;(4, 3);1;269
;(4, 3);1;270
;(4, 3);1;271
;(4, 3);1;272
;(4, 3);1;273
;(4, 3);1;274
;(4, 3);1;275
;(4, 3);1;276
;(4, 3);1;277
;(4, 3);1;278
;(4, 3);1;279
;(4, 3);1;280
;(4, 3);1;281
;(4, 3);1;282
;(4, 3);1;283
;(4, 3);1;284
;(4, 3);1;285
;(4, 3);1;286
;(4, 3);1;287
;(4, 3);1;288
;(4, 3);1;289
;(4, 3);1;290
;(4, 3);1;291
;(4, 3);1;292
;(4, 3);1;293
;(4, 3);1;294
;(4, 3);1;295
;(4, 3);1;296
;(4, 3);1;297
MoveEast;(5, 3);1;298
;(5, 3);1;299
;(5, 3);1;300
;(5, 3);1;301
;(5, 3);1;302
;(5, 3);1;303
;(5, 3);1;304
;(5, 3);1;305
;(5, 3);1;306
;(5, 3);1;307
;(5, 3);1;308
;(5, 3);1;309
;(5, 3);1;310
;(5, 3);1;311
MoveEast;(6, 3);1;312
;(6, 3);1;313
;(6, 3);1;314
;(6, 3);1;315
;(6, 3);1;316
;(6, 3);1;317
;(6, 3);1;318
;(6, 3);1;319
;(6, 3);1;320
;(6, 3);1;321
MoveEast;(7, 3);1;322
MoveEast;(8, 3);1;323
;(8, 3);1;324
MoveEast;(9, 3);1;325
;(9, 3);1;326
;(9, 3);1;327
;(9, 3);1;328
;(9, 3);1;329
;(9, 3);1;330
;(9, 3);1;331
;(9, 3);1;332
;(9, 3);1;333
;(9, 3);1;334
;(9, 3);1;335
;(9, 3);1;336
;(9, 3);1;337
;(9, 3);1;338
;(9, 3);1;339
;(9, 3);1;340
;(9, 3);1;341
;(9, 3);1;342
;(9, 3);1;343
;(9, 3);1;344
;(9, 3);1;345
;(9, 3);1;346
;(9, 3);1;347
;(9, 3);1;348
;(9, 3);1;349
;(9, 3);1;350
;(9, 3);1;351
;(9, 3);1;352
;(9, 3);1;353
;(9, 3);1;354
;(9, 3);1;355
GrabObject;(9, 3);1;356
;(9, 3);1;357
;(9, 3);1;358
;(9, 3);1;359
;(9, 3);1;360
;(9, 3);1;361
;(9, 3);1;362
;(9, 3);1;363
;(9, 3);1;364
;(9, 3);1;365
;(9, 3);1;366
;(9, 3);1;367
;(9, 3);1;368
;(9, 3);1;369
;(9, 3);1;370
;(9, 3);1;371
;(9, 3);1;372
;(9, 3);1;373
;(9, 3);1;374
;(9, 3);1;375
;(9, 3);1;376
;(9, 3);1;377
;(9, 3);1;378
;(9, 3);1;379
;(9, 3);1;380
;(9, 3);1;381
;(9, 3);1;382
;(9, 3);1;383
;(9, 3);1;384
;(9, 3);1;385
;(9, 3);1;386
;(9, 3);1;387
;(9, 3);1;388
;(9, 3);1;389
MoveNorth;(9, 2);1;390
;(9, 2);1;391
;(9, 2);1;392
;(9, 2);1;393
;(9, 2);1;394
;(9, 2);1;395
;(9, 2);1;396
;(9, 2);1;397
;(9, 2);1;398
;(9, 2);1;399
;(9, 2);1;400
;(9, 2);1;401
