human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveNorth;(3, 3);1;1
;(3, 3);1;2
;(3, 3);1;3
;(3, 3);1;4
;(3, 3);1;5
;(3, 3);1;6
;(3, 3);1;7
;(3, 3);1;8
;(3, 3);1;9
;(3, 3);1;10
;(3, 3);1;11
;(3, 3);1;12
;(3, 3);1;13
;(3, 3);1;14
;(3, 3);1;15
;(3, 3);1;16
MoveEast;(4, 3);1;17
;(4, 3);1;18
;(4, 3);1;19
;(4, 3);1;20
;(4, 3);1;21
;(4, 3);1;22
;(4, 3);1;23
;(4, 3);1;24
;(4, 3);1;25
;(4, 3);1;26
;(4, 3);1;27
MoveEast;(5, 3);1;28
;(5, 3);1;29
;(5, 3);1;30
;(5, 3);1;31
;(5, 3);1;32
;(5, 3);1;33
;(5, 3);1;34
;(5, 3);1;35
;(5, 3);1;36
;(5, 3);1;37
;(5, 3);1;38
MoveEast;(6, 3);1;39
;(6, 3);1;40
;(6, 3);1;41
;(6, 3);1;42
;(6, 3);1;43
;(6, 3);1;44
;(6, 3);1;45
MoveEast;(7, 3);1;46
;(7, 3);1;47
;(7, 3);1;48
;(7, 3);1;49
;(7, 3);1;50
;(7, 3);1;51
;(7, 3);1;52
;(7, 3);1;53
;(7, 3);1;54
;(7, 3);1;55
MoveEast;(8, 3);1;56
;(8, 3);1;57
;(8, 3);1;58
;(8, 3);1;59
;(8, 3);1;60
;(8, 3);1;61
;(8, 3);1;62
;(8, 3);1;63
;(8, 3);1;64
;(8, 3);1;65
;(8, 3);1;66
;(8, 3);1;67
;(8, 3);1;68
;(8, 3);1;69
;(8, 3);1;70
;(8, 3);1;71
;(8, 3);1;72
;(8, 3);1;73
;(8, 3);1;74
;(8, 3);1;75
;(8, 3);1;76
;(8, 3);1;77
;(8, 3);1;78
MoveEast;(9, 3);1;79
;(9, 3);1;80
;(9, 3);1;81
;(9, 3);1;82
;(9, 3);1;83
MoveEast;(10, 3);1;84
;(10, 3);1;85
;(10, 3);1;86
;(10, 3);1;87
;(10, 3);1;88
;(10, 3);1;89
;(10, 3);1;90
;(10, 3);1;91
;(10, 3);1;92
;(10, 3);1;93
;(10, 3);1;94
;(10, 3);1;95
;(10, 3);1;96
MoveSouth;(10, 4);1;97
;(10, 4);1;98
;(10, 4);1;99
;(10, 4);1;100
;(10, 4);1;101
;(10, 4);1;102
;(10, 4);1;103
;(10, 4);1;104
;(10, 4);1;105
;(10, 4);1;106
;(10, 4);1;107
;(10, 4);1;108
;(10, 4);1;109
;(10, 4);1;110
;(10, 4);1;111
;(10, 4);1;112
;(10, 4);1;113
;(10, 4);1;114
;(10, 4);1;115
;(10, 4);1;116
;(10, 4);1;117
;(10, 4);1;118
;(10, 4);1;119
;(10, 4);1;120
;(10, 4);1;121
;(10, 4);1;122
;(10, 4);1;123
;(10, 4);1;124
;(10, 4);1;125
;(10, 4);1;126
;(10, 4);1;127
;(10, 4);1;128
;(10, 4);1;129
;(10, 4);1;130
;(10, 4);1;131
;(10, 4);1;132
;(10, 4);1;133
;(10, 4);1;134
;(10, 4);1;135
;(10, 4);1;136
;(10, 4);1;137
;(10, 4);1;138
;(10, 4);1;139
;(10, 4);1;140
;(10, 4);1;141
;(10, 4);1;142
;(10, 4);1;143
;(10, 4);1;144
;(10, 4);1;145
;(10, 4);1;146
;(10, 4);1;147
;(10, 4);1;148
;(10, 4);1;149
;(10, 4);1;150
;(10, 4);1;151
;(10, 4);1;152
;(10, 4);1;153
;(10, 4);1;154
;(10, 4);1;155
;(10, 4);1;156
;(10, 4);1;157
;(10, 4);1;158
;(10, 4);1;159
;(10, 4);1;160
;(10, 4);1;161
;(10, 4);1;162
GrabObject;(10, 4);1;163
;(10, 4);1;164
;(10, 4);1;165
;(10, 4);1;166
;(10, 4);1;167
;(10, 4);1;168
;(10, 4);1;169
;(10, 4);1;170
;(10, 4);1;171
;(10, 4);1;172
;(10, 4);1;173
;(10, 4);1;174
;(10, 4);1;175
;(10, 4);1;176
;(10, 4);1;177
;(10, 4);1;178
;(10, 4);1;179
;(10, 4);1;180
;(10, 4);1;181
;(10, 4);1;182
;(10, 4);1;183
;(10, 4);1;184
;(10, 4);1;185
;(10, 4);1;186
;(10, 4);1;187
;(10, 4);1;188
;(10, 4);1;189
;(10, 4);1;190
;(10, 4);1;191
;(10, 4);1;192
MoveWest;(9, 4);1;193
;(9, 4);1;194
;(9, 4);1;195
;(9, 4);1;196
;(9, 4);1;197
;(9, 4);1;198
;(9, 4);1;199
;(9, 4);1;200
;(9, 4);1;201
;(9, 4);1;202
;(9, 4);1;203
MoveWest;(8, 4);1;204
;(8, 4);1;205
;(8, 4);1;206
;(8, 4);1;207
;(8, 4);1;208
;(8, 4);1;209
;(8, 4);1;210
;(8, 4);1;211
MoveWest;(7, 4);1;212
;(7, 4);1;213
;(7, 4);1;214
MoveWest;(6, 4);1;215
;(6, 4);1;216
;(6, 4);1;217
;(6, 4);1;218
MoveWest;(5, 4);1;219
;(5, 4);1;220
;(5, 4);1;221
;(5, 4);1;222
;(5, 4);1;223
;(5, 4);1;224
;(5, 4);1;225
MoveWest;(4, 4);1;226
;(4, 4);1;227
;(4, 4);1;228
;(4, 4);1;229
MoveWest;(3, 4);1;230
;(3, 4);1;231
;(3, 4);1;232
;(3, 4);1;233
MoveWest;(2, 4);1;234
;(2, 4);1;235
;(2, 4);1;236
MoveWest;(1, 4);1;237
;(1, 4);1;238
;(1, 4);1;239
;(1, 4);1;240
;(1, 4);1;241
;(1, 4);1;242
MoveWest;(0, 4);1;243
;(0, 4);1;244
;(0, 4);1;245
