human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveEast;(4, 4);1;1
;(4, 4);1;2
;(4, 4);1;3
;(4, 4);1;4
;(4, 4);1;5
;(4, 4);1;6
;(4, 4);1;7
;(4, 4);1;8
;(4, 4);1;9
;(4, 4);1;10
;(4, 4);1;11
;(4, 4);1;12
;(4, 4);1;13
;(4, 4);1;14
;(4, 4);1;15
;(4, 4);1;16
;(4, 4);1;17
;(4, 4);1;18
;(4, 4);1;19
;(4, 4);1;20
;(4, 4);1;21
;(4, 4);1;22
;(4, 4);1;23
;(4, 4);1;24
;(4, 4);1;25
;(4, 4);1;26
;(4, 4);1;27
;(4, 4);1;28
MoveEast;(5, 4);1;29
;(5, 4);1;30
;(5, 4);1;31
;(5, 4);1;32
;(5, 4);1;33
;(5, 4);1;34
;(5, 4);1;35
;(5, 4);1;36
;(5, 4);1;37
;(5, 4);1;38
;(5, 4);1;39
;(5, 4);1;40
;(5, 4);1;41
MoveEast;(6, 4);1;42
;(6, 4);1;43
;(6, 4);1;44
;(6, 4);1;45
;(6, 4);1;46
;(6, 4);1;47
MoveEast;(7, 4);1;48
;(7, 4);1;49
;(7, 4);1;50
;(7, 4);1;51
MoveEast;(8, 4);1;52
;(8, 4);1;53
;(8, 4);1;54
;(8, 4);1;55
;(8, 4);1;56
;(8, 4);1;57
MoveEast;(9, 4);1;58
;(9, 4);1;59
;(9, 4);1;60
;(9, 4);1;61
;(9, 4);1;62
;(9, 4);1;63
MoveEast;(10, 4);1;64
;(10, 4);1;65
;(10, 4);1;66
;(10, 4);1;67
;(10, 4);1;68
;(10, 4);1;69
;(10, 4);1;70
;(10, 4);1;71
;(10, 4);1;72
;(10, 4);1;73
;(10, 4);1;74
;(10, 4);1;75
;(10, 4);1;76
;(10, 4);1;77
;(10, 4);1;78
;(10, 4);1;79
;(10, 4);1;80
;(10, 4);1;81
;(10, 4);1;82
;(10, 4);1;83
;(10, 4);1;84
;(10, 4);1;85
;(10, 4);1;86
;(10, 4);1;87
;(10, 4);1;88
;(10, 4);1;89
;(10, 4);1;90
;(10, 4);1;91
;(10, 4);1;92
;(10, 4);1;93
;(10, 4);1;94
;(10, 4);1;95
;(10, 4);1;96
;(10, 4);1;97
;(10, 4);1;98
;(10, 4);1;99
;(10, 4);1;100
;(10, 4);1;101
;(10, 4);1;102
;(10, 4);1;103
;(10, 4);1;104
;(10, 4);1;105
;(10, 4);1;106
;(10, 4);1;107
;(10, 4);1;108
;(10, 4);1;109
;(10, 4);1;110
;(10, 4);1;111
;(10, 4);1;112
;(10, 4);1;113
;(10, 4);1;114
;(10, 4);1;115
;(10, 4);1;116
;(10, 4);1;117
;(10, 4);1;118
;(10, 4);1;119
;(10, 4);1;120
;(10, 4);1;121
;(10, 4);1;122
;(10, 4);1;123
;(10, 4);1;124
;(10, 4);1;125
;(10, 4);1;126
;(10, 4);1;127
;(10, 4);1;128
;(10, 4);1;129
;(10, 4);1;130
;(10, 4);1;131
;(10, 4);1;132
;(10, 4);1;133
;(10, 4);1;134
;(10, 4);1;135
;(10, 4);1;136
;(10, 4);1;137
;(10, 4);1;138
;(10, 4);1;139
;(10, 4);1;140
;(10, 4);1;141
MoveWest;(9, 4);1;142
;(9, 4);1;143
;(9, 4);1;144
;(9, 4);1;145
;(9, 4);1;146
;(9, 4);1;147
;(9, 4);1;148
;(9, 4);1;149
;(9, 4);1;150
;(9, 4);1;151
;(9, 4);1;152
;(9, 4);1;153
;(9, 4);1;154
;(9, 4);1;155
MoveWest;(8, 4);1;156
;(8, 4);1;157
;(8, 4);1;158
MoveWest;(7, 4);1;159
;(7, 4);1;160
;(7, 4);1;161
;(7, 4);1;162
;(7, 4);1;163
;(7, 4);1;164
;(7, 4);1;165
;(7, 4);1;166
MoveEast;(8, 4);1;167
;(8, 4);1;168
;(8, 4);1;169
;(8, 4);1;170
;(8, 4);1;171
MoveEast;(9, 4);1;172
;(9, 4);1;173
;(9, 4);1;174
;(9, 4);1;175
;(9, 4);1;176
;(9, 4);1;177
;(9, 4);1;178
;(9, 4);1;179
;(9, 4);1;180
;(9, 4);1;181
;(9, 4);1;182
;(9, 4);1;183
;(9, 4);1;184
;(9, 4);1;185
;(9, 4);1;186
;(9, 4);1;187
;(9, 4);1;188
;(9, 4);1;189
;(9, 4);1;190
;(9, 4);1;191
;(9, 4);1;192
;(9, 4);1;193
;(9, 4);1;194
;(9, 4);1;195
;(9, 4);1;196
;(9, 4);1;197
;(9, 4);1;198
;(9, 4);1;199
;(9, 4);1;200
;(9, 4);1;201
;(9, 4);1;202
;(9, 4);1;203
;(9, 4);1;204
;(9, 4);1;205
;(9, 4);1;206
;(9, 4);1;207
;(9, 4);1;208
;(9, 4);1;209
;(9, 4);1;210
;(9, 4);1;211
;(9, 4);1;212
;(9, 4);1;213
;(9, 4);1;214
;(9, 4);1;215
;(9, 4);1;216
;(9, 4);1;217
;(9, 4);1;218
;(9, 4);1;219
;(9, 4);1;220
;(9, 4);1;221
;(9, 4);1;222
;(9, 4);1;223
;(9, 4);1;224
;(9, 4);1;225
;(9, 4);1;226
;(9, 4);1;227
;(9, 4);1;228
;(9, 4);1;229
;(9, 4);1;230
;(9, 4);1;231
;(9, 4);1;232
MoveSouth;(9, 5);1;233
;(9, 5);1;234
;(9, 5);1;235
;(9, 5);1;236
;(9, 5);1;237
;(9, 5);1;238
;(9, 5);1;239
;(9, 5);1;240
;(9, 5);1;241
;(9, 5);1;242
;(9, 5);1;243
;(9, 5);1;244
;(9, 5);1;245
;(9, 5);1;246
;(9, 5);1;247
;(9, 5);1;248
;(9, 5);1;249
;(9, 5);1;250
;(9, 5);1;251
;(9, 5);1;252
;(9, 5);1;253
;(9, 5);1;254
MoveWest;(8, 5);1;255
;(8, 5);1;256
;(8, 5);1;257
;(8, 5);1;258
;(8, 5);1;259
;(8, 5);1;260
;(8, 5);1;261
;(8, 5);1;262
;(8, 5);1;263
;(8, 5);1;264
;(8, 5);1;265
;(8, 5);1;266
;(8, 5);1;267
MoveEast;(9, 5);1;268
;(9, 5);1;269
;(9, 5);1;270
;(9, 5);1;271
;(9, 5);1;272
;(9, 5);1;273
;(9, 5);1;274
;(9, 5);1;275
;(9, 5);1;276
;(9, 5);1;277
;(9, 5);1;278
;(9, 5);1;279
;(9, 5);1;280
;(9, 5);1;281
;(9, 5);1;282
;(9, 5);1;283
;(9, 5);1;284
;(9, 5);1;285
;(9, 5);1;286
;(9, 5);1;287
;(9, 5);1;288
;(9, 5);1;289
;(9, 5);1;290
;(9, 5);1;291
;(9, 5);1;292
;(9, 5);1;293
GrabObject;(9, 5);1;294
;(9, 5);1;295
;(9, 5);1;296
;(9, 5);1;297
;(9, 5);1;298
;(9, 5);1;299
;(9, 5);1;300
;(9, 5);1;301
;(9, 5);1;302
;(9, 5);1;303
;(9, 5);1;304
;(9, 5);1;305
;(9, 5);1;306
;(9, 5);1;307
;(9, 5);1;308
;(9, 5);1;309
;(9, 5);1;310
;(9, 5);1;311
;(9, 5);1;312
;(9, 5);1;313
;(9, 5);1;314
;(9, 5);1;315
;(9, 5);1;316
;(9, 5);1;317
;(9, 5);1;318
MoveWest;(8, 5);1;319
;(8, 5);1;320
;(8, 5);1;321
;(8, 5);1;322
;(8, 5);1;323
;(8, 5);1;324
;(8, 5);1;325
;(8, 5);1;326
;(8, 5);1;327
;(8, 5);1;328
;(8, 5);1;329
;(8, 5);1;330
;(8, 5);1;331
;(8, 5);1;332
MoveWest;(7, 5);1;333
;(7, 5);1;334
;(7, 5);1;335
;(7, 5);1;336
;(7, 5);1;337
;(7, 5);1;338
;(7, 5);1;339
MoveWest;(6, 5);1;340
;(6, 5);1;341
;(6, 5);1;342
;(6, 5);1;343
;(6, 5);1;344
MoveWest;(5, 5);1;345
;(5, 5);1;346
;(5, 5);1;347
;(5, 5);1;348
;(5, 5);1;349
;(5, 5);1;350
;(5, 5);1;351
;(5, 5);1;352
;(5, 5);1;353
;(5, 5);1;354
;(5, 5);1;355
;(5, 5);1;356
;(5, 5);1;357
;(5, 5);1;358
;(5, 5);1;359
;(5, 5);1;360
;(5, 5);1;361
;(5, 5);1;362
;(5, 5);1;363
;(5, 5);1;364
;(5, 5);1;365
;(5, 5);1;366
;(5, 5);1;367
;(5, 5);1;368
;(5, 5);1;369
;(5, 5);1;370
;(5, 5);1;371
;(5, 5);1;372
;(5, 5);1;373
;(5, 5);1;374
;(5, 5);1;375
;(5, 5);1;376
;(5, 5);1;377
;(5, 5);1;378
