correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'yup2', 'delete': 'True'};I will now follow the Collaboration Pattern yup2.;"{""content"": {""name"": ""yup2"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""c5df72bb06bf04cb81bdd237885d47ef""}";;I will now follow the Collaboration Pattern yup2.;;;I will now follow the Collaboration Pattern yup2.;;;I will now follow the Collaboration Pattern yup2.;;;I will now follow the Collaboration Pattern yup2.;;;I will now follow the Collaboration Pattern yup2.;;;I will now follow the Collaboration Pattern yup2.;;I will now follow the Collaboration Pattern yup2.;{'name': 'yup2', 'delete': 'True'};"{""content"": ""I will now follow the Collaboration Pattern yup2."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""8d615beb94887c468c34f1e90be706cf""}";1;1
1;;{'cp_delete': 'yup2', 'html': None};;;{'cp_delete': 'yup2', 'html': None};;;{'cp_delete': 'yup2', 'html': None};;;{'cp_delete': 'yup2', 'html': None};;;{'cp_delete': 'yup2', 'html': None};;;{'cp_delete': 'yup2', 'html': None};;{'cp_delete': 'yup2', 'html': None};;"{""content"": {""cp_delete"": ""yup2"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""63023d2aceea7f753b26759f561654d2""}";;{'cp_delete': 'yup2', 'html': None};;1;2
2;;{'cp_delete': 'good things1', 'html': None};;;{'cp_delete': 'good things1', 'html': None};;;{'cp_delete': 'good things1', 'html': None};;;{'cp_delete': 'good things1', 'html': None};;;{'cp_delete': 'good things1', 'html': None};;;{'cp_delete': 'good things1', 'html': None};;{'cp_delete': 'good things1', 'html': None};;"{""content"": {""cp_delete"": ""good things1"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""8d4c29d5e6dcef2c744645b1e518cfa""}";;{'cp_delete': 'good things1', 'html': None};;1;3
3;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;;I will stop following the Collaboration Pattern yup2;;I will stop following the Collaboration Pattern yup2;;"{""content"": ""I will stop following the Collaboration Pattern yup2"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""771e563479824e78c41eede63c85d0bf""}";1;4
4;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;I will now follow the Collaboration Pattern CP_known.;;"{""content"": ""I will now follow the Collaboration Pattern CP_known."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""1b647abfaa0c959714b089ae109a25a1""}";1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
9;;;;;;;;;;;;;;;;;;;;;;;;;1;10
10;;;;;;;;;;;;;;;;;;;;;;;;;1;11
11;;;;;;;;;;;;;;;;;;;;;;;;;1;12
12;;;;;;;;;;;;;;;;;;;;;;;;;1;13
13;;;;;;;;;;;;;;;;;;;;;;;;;1;14
14;;;;;;;;;;;;;;;;;;;;;;;;;1;15
15;;;;;;;;;;;;;;;;;;;;;;;;;1;16
16;;;;;;;;;;;;;;;;;;;;;;;;;1;17
17;{'name': 'yup', 'delete': 'True'};;"{""content"": {""name"": ""yup"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""1697f4bf690af468a538c433e2695503""}";;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;;{'name': 'yup', 'delete': 'True'};;1;18
18;;{'cp_delete': 'yup', 'html': None};;;{'cp_delete': 'yup', 'html': None};;;{'cp_delete': 'yup', 'html': None};;;{'cp_delete': 'yup', 'html': None};;;{'cp_delete': 'yup', 'html': None};;;{'cp_delete': 'yup', 'html': None};;{'cp_delete': 'yup', 'html': None};;"{""content"": {""cp_delete"": ""yup"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""ab81e251d0b179ee4aebc548ad58fc27""}";;{'cp_delete': 'yup', 'html': None};;1;19
19;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""14bf8166f53e2ce68b938706edbfc1c0""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;20
20;;;;;;;;;;;;;;;;;;;;;;;;;1;21
21;;;;;;;;;;;;;;;;;;;;;;;;;1;22
22;;;;;;;;;;;;;;;;;;;;;;;;;1;23
23;;;;;;;;;;;;;;;;;;;;;;;;;1;24
24;;;;;;;;;;;;;;;;;;;;;;;;;1;25
25;;;;;;;;;;;;;;;;;;;;;;;;;1;26
26;;;;;;;;;;;;;;;;;;;;;;;;;1;27
27;;;;;;;;;;;;;;;;;;;;;;;;;1;28
28;;;;;;;;;;;;;;;;;;;;;;;;;1;29
29;;;;;;;;;;;;;;;;;;;;;;;;;1;30
30;;;;;;;;;;;;;;;;;;;;;;;;;1;31
31;;;;;;;;;;;;;;;;;;;;;;;;;1;32
32;;;;;;;;;;;;;;;;;;;;;;;;;1;33
33;{'name': 'CP_known', 'delete': 'True'};;"{""content"": {""name"": ""CP_known"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""bdcd38d9ce89d3b612c72de1a92ede44""}";;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;;{'name': 'CP_known', 'delete': 'True'};;1;34
34;;{'cp_delete': 'CP_known', 'html': None};;;{'cp_delete': 'CP_known', 'html': None};;;{'cp_delete': 'CP_known', 'html': None};;;{'cp_delete': 'CP_known', 'html': None};;;{'cp_delete': 'CP_known', 'html': None};;;{'cp_delete': 'CP_known', 'html': None};;{'cp_delete': 'CP_known', 'html': None};;"{""content"": {""cp_delete"": ""CP_known"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""28361e00772395fc9ea8e0e4a562c612""}";;{'cp_delete': 'CP_known', 'html': None};;1;35
35;;;;;;;;;;;;;;;;;;;;;;;;;1;36
36;;;;;;;;;;;;;;;;;;;;;;;;;1;37
37;;;;;;;;;;;;;;;;;;;;;;;;;1;38
38;;;;;;;;;;;;;;;;;;;;;;;;;1;39
39;{'past_action': ['Stand still', ['Left side of field']]};Now executing Pick up a large rock at Top of rock pile;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""964d34be94120b371b82c328d8627fb6""}";;Now executing Pick up a large rock at Top of rock pile;;;Now executing Pick up a large rock at Top of rock pile;;;Now executing Pick up a large rock at Top of rock pile;;;Now executing Pick up a large rock at Top of rock pile;;;Now executing Pick up a large rock at Top of rock pile;;;Now executing Pick up a large rock at Top of rock pile;;Now executing Pick up a large rock at Top of rock pile;{'past_action': ['Stand still', ['Left side of field']]};"{""content"": ""Now executing Pick up a large rock at Top of rock pile"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""eca0314e62b7834b461f1a071499fda5""}";1;40
