correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'robot breaks big rock human move them', 'delete': 'True'};I will now follow the Collaboration Pattern break large rocks on top of others.;"{""content"": {""name"": ""robot breaks big rock human move them"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""6f02410382b82d3044d9ae8b237d8662""}";;I will now follow the Collaboration Pattern break large rocks on top of others.;;;I will now follow the Collaboration Pattern break large rocks on top of others.;;;I will now follow the Collaboration Pattern break large rocks on top of others.;;;I will now follow the Collaboration Pattern break large rocks on top of others.;;;I will now follow the Collaboration Pattern break large rocks on top of others.;;;I will now follow the Collaboration Pattern break large rocks on top of others.;;I will now follow the Collaboration Pattern break large rocks on top of others.;{'name': 'robot breaks big rock human move them', 'delete': 'True'};"{""content"": ""I will now follow the Collaboration Pattern break large rocks on top of others."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""3ba81bb8c1bad9cfe960a05070490d9""}";1;1
1;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;"{""content"": {""cp_delete"": ""move large rocks that are on small rocks"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""7473a432610192e54eb798994b3ddb3a""}";;{'cp_delete': 'move large rocks that are on small rocks', 'html': None};;1;2
2;;I will stop following the Collaboration Pattern break large rocks on top of others;;;I will stop following the Collaboration Pattern break large rocks on top of others;;;I will stop following the Collaboration Pattern break large rocks on top of others;;;I will stop following the Collaboration Pattern break large rocks on top of others;;;I will stop following the Collaboration Pattern break large rocks on top of others;;;I will stop following the Collaboration Pattern break large rocks on top of others;;{'cp_delete': 'break large rocks on top of others', 'html': None};I will stop following the Collaboration Pattern break large rocks on top of others;"{""content"": {""cp_delete"": ""break large rocks on top of others"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""8c0219540684c435685612cfcb48c5f6""}";I will stop following the Collaboration Pattern break large rocks on top of others;{'cp_delete': 'break large rocks on top of others', 'html': None};"{""content"": ""I will stop following the Collaboration Pattern break large rocks on top of others"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""56e602df129b1bbacd1a44785e32363a""}";1;3
3;;I will now follow the Collaboration Pattern remove small rocks on left side.;;;I will now follow the Collaboration Pattern remove small rocks on left side.;;;I will now follow the Collaboration Pattern remove small rocks on left side.;;;I will now follow the Collaboration Pattern remove small rocks on left side.;;;I will now follow the Collaboration Pattern remove small rocks on left side.;;;I will now follow the Collaboration Pattern remove small rocks on left side.;;{'cp_delete': 'robot breaks big rock human move them', 'html': None};I will now follow the Collaboration Pattern remove small rocks on left side.;"{""content"": {""cp_delete"": ""robot breaks big rock human move them"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""11b90be2fd17a142f18274fec0c36ec9""}";I will now follow the Collaboration Pattern remove small rocks on left side.;{'cp_delete': 'robot breaks big rock human move them', 'html': None};"{""content"": ""I will now follow the Collaboration Pattern remove small rocks on left side."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""a4f0403e4f8416f5de58c1ea4a1fdde0""}";1;4
4;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;;I will stop following the Collaboration Pattern remove small rocks on left side;;I will stop following the Collaboration Pattern remove small rocks on left side;;"{""content"": ""I will stop following the Collaboration Pattern remove small rocks on left side"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""6b038ecfd95a666093a7ade61daa582b""}";1;5
5;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;I will now follow the Collaboration Pattern CP_known.;;"{""content"": ""I will now follow the Collaboration Pattern CP_known."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""d7319859054defe349802091880c0031""}";1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
9;;;;;;;;;;;;;;;;;;;;;;;;;1;10
10;;;;;;;;;;;;;;;;;;;;;;;;;1;11
11;;;;;;;;;;;;;;;;;;;;;;;;;1;12
12;;;;;;;;;;;;;;;;;;;;;;;;;1;13
13;;;;;;;;;;;;;;;;;;;;;;;;;1;14
14;;;;;;;;;;;;;;;;;;;;;;;;;1;15
15;;;;;;;;;;;;;;;;;;;;;;;;;1;16
16;;;;;;;;;;;;;;;;;;;;;;;;;1;17
17;;;;;;;;;;;;;;;;;;;;;;;;;1;18
18;;;;;;;;;;;;;;;;;;;;;;;;;1;19
19;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""f78584817da194b2d86a61e375d35bf8""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;20
20;;;;;;;;;;;;;;;;;;;;;;;;;1;21
21;;;;;;;;;;;;;;;;;;;;;;;;;1;22
22;;;;;;;;;;;;;;;;;;;;;;;;;1;23
23;;;;;;;;;;;;;;;;;;;;;;;;;1;24
24;{'name': 'remove small rocks on left side', 'delete': 'True'};;"{""content"": {""name"": ""remove small rocks on left side"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""3151ddab2335039580bee126ac7ea006""}";;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;;{'name': 'remove small rocks on left side', 'delete': 'True'};;1;25
25;;{'cp_delete': 'remove small rocks on left side', 'html': None};;;{'cp_delete': 'remove small rocks on left side', 'html': None};;;{'cp_delete': 'remove small rocks on left side', 'html': None};;;{'cp_delete': 'remove small rocks on left side', 'html': None};;;{'cp_delete': 'remove small rocks on left side', 'html': None};;;{'cp_delete': 'remove small rocks on left side', 'html': None};;{'cp_delete': 'remove small rocks on left side', 'html': None};;"{""content"": {""cp_delete"": ""remove small rocks on left side"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""15911b4b69d2de3252686f5c6d5cb47a""}";;{'cp_delete': 'remove small rocks on left side', 'html': None};;1;26
26;;;;;;;;;;;;;;;;;;;;;;;;;1;27
27;;;;;;;;;;;;;;;;;;;;;;;;;1;28
28;;;;;;;;;;;;;;;;;;;;;;;;;1;29
29;;;;;;;;;;;;;;;;;;;;;;;;;1;30
30;;;;;;;;;;;;;;;;;;;;;;;;;1;31
31;;;;;;;;;;;;;;;;;;;;;;;;;1;32
32;;;;;;;;;;;;;;;;;;;;;;;;;1;33
33;;;;;;;;;;;;;;;;;;;;;;;;;1;34
34;;;;;;;;;;;;;;;;;;;;;;;;;1;35
35;;;;;;;;;;;;;;;;;;;;;;;;;1;36
36;;;;;;;;;;;;;;;;;;;;;;;;;1;37
37;;;;;;;;;;;;;;;;;;;;;;;;;1;38
38;;;;;;;;;;;;;;;;;;;;;;;;;1;39
39;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""ce644478fcf1c2ec7c402551bcdd124c""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;40
40;;;;;;;;;;;;;;;;;;;;;;;;;1;41
41;;;;;;;;;;;;;;;;;;;;;;;;;1;42
42;;;;;;;;;;;;;;;;;;;;;;;;;1;43
43;;;;;;;;;;;;;;;;;;;;;;;;;1;44
44;;;;;;;;;;;;;;;;;;;;;;;;;1;45
45;;;;;;;;;;;;;;;;;;;;;;;;;1;46
46;;;;;;;;;;;;;;;;;;;;;;;;;1;47
47;;;;;;;;;;;;;;;;;;;;;;;;;1;48
48;;;;;;;;;;;;;;;;;;;;;;;;;1;49
49;;;;;;;;;;;;;;;;;;;;;;;;;1;50
50;;;;;;;;;;;;;;;;;;;;;;;;;1;51
51;;;;;;;;;;;;;;;;;;;;;;;;;1;52
