correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'work_from_bottom', 'delete': 'True'};I will now follow the Collaboration Pattern work_from_bottom.;"{""content"": {""name"": ""work_from_bottom"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""3c547fea068e26400fad8959a49195dd""}";;I will now follow the Collaboration Pattern work_from_bottom.;;;I will now follow the Collaboration Pattern work_from_bottom.;;;I will now follow the Collaboration Pattern work_from_bottom.;;;I will now follow the Collaboration Pattern work_from_bottom.;;;I will now follow the Collaboration Pattern work_from_bottom.;;;I will now follow the Collaboration Pattern work_from_bottom.;;I will now follow the Collaboration Pattern work_from_bottom.;{'name': 'work_from_bottom', 'delete': 'True'};"{""content"": ""I will now follow the Collaboration Pattern work_from_bottom."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""6549c68ba372fcfd2185d48b1a4e44ba""}";1;1
1;;{'cp_delete': 'pick_small_rocks', 'html': None};;;{'cp_delete': 'pick_small_rocks', 'html': None};;;{'cp_delete': 'pick_small_rocks', 'html': None};;;{'cp_delete': 'pick_small_rocks', 'html': None};;;{'cp_delete': 'pick_small_rocks', 'html': None};;;{'cp_delete': 'pick_small_rocks', 'html': None};;{'cp_delete': 'pick_small_rocks', 'html': None};;"{""content"": {""cp_delete"": ""pick_small_rocks"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""682fd5cd5e3cd4bc3136b111e8b529a1""}";;{'cp_delete': 'pick_small_rocks', 'html': None};;1;2
2;;{'cp_delete': 'work_from_bottom', 'html': None};;;{'cp_delete': 'work_from_bottom', 'html': None};;;{'cp_delete': 'work_from_bottom', 'html': None};;;{'cp_delete': 'work_from_bottom', 'html': None};;;{'cp_delete': 'work_from_bottom', 'html': None};;;{'cp_delete': 'work_from_bottom', 'html': None};;{'cp_delete': 'work_from_bottom', 'html': None};;"{""content"": {""cp_delete"": ""work_from_bottom"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""f2bd75eecd79edfe9fcd71aecb46781c""}";;{'cp_delete': 'work_from_bottom', 'html': None};;1;3
3;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;;I will stop following the Collaboration Pattern work_from_bottom;;I will stop following the Collaboration Pattern work_from_bottom;;"{""content"": ""I will stop following the Collaboration Pattern work_from_bottom"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""f94727253921bb355b88cc64f1fff021""}";1;4
4;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;I will now follow the Collaboration Pattern CP_known.;;"{""content"": ""I will now follow the Collaboration Pattern CP_known."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""6c78e9b8d3872a9db89b44262dd63049""}";1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
