correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;"{""content"": {""name"": ""bot_pickupLarge_Top_dropLeft_2"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""f16aa8cb922ec270070033f3df1499c7""}";;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;;Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};"{""content"": ""Welcome, I am your robot partner. I already have collaboration patterns ['bot_pickupLarge_Top_dropLeft_2', 'bot_pickupLarge_Top_dropLeft'] remembered from the previous interactions!"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""b40546bf7c7deee0bd5b3b6f1d464c90""}";1;1
1;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;"{""content"": {""cp_delete"": ""bot_pickupLarge_Top_dropLeft"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""4c2a88b5b35dc3829682db76b2b3a5a5""}";;{'cp_delete': 'bot_pickupLarge_Top_dropLeft', 'html': None};;1;2
2;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;"{""content"": {""cp_delete"": ""bot_pickupLarge_Top_dropLeft_2"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""15fda40746c711b7e8eea19ab9647ea1""}";;{'cp_delete': 'bot_pickupLarge_Top_dropLeft_2', 'html': None};;1;3
3;;;;;;;;;;;;;;;;;;;;;;;;;1;4
4;;;;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
9;;;;;;;;;;;;;;;;;;;;;;;;;1;10
10;;;;;;;;;;;;;;;;;;;;;;;;;1;11
11;;;;;;;;;;;;;;;;;;;;;;;;;1;12
12;;;;;;;;;;;;;;;;;;;;;;;;;1;13
13;;;;;;;;;;;;;;;;;;;;;;;;;1;14
14;;;;;;;;;;;;;;;;;;;;;;;;;1;15
15;;;;;;;;;;;;;;;;;;;;;;;;;1;16
16;;;;;;;;;;;;;;;;;;;;;;;;;1;17
17;;;;;;;;;;;;;;;;;;;;;;;;;1;18
18;;;;;;;;;;;;;;;;;;;;;;;;;1;19
19;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;"{""content"": {""name"": ""bot_pickupLarge_Top_dropLeft_2"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""155015639bc77e1540802f1437dac5ef""}";;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;;{'name': 'bot_pickupLarge_Top_dropLeft_2', 'delete': 'True'};;1;20
20;;;;;;;;;;;;;;;;;;;;;;;;;1;21
21;;;;;;;;;;;;;;;;;;;;;;;;;1;22
22;;;;;;;;;;;;;;;;;;;;;;;;;1;23
23;;;;;;;;;;;;;;;;;;;;;;;;;1;24
24;;;;;;;;;;;;;;;;;;;;;;;;;1;25
25;;;;;;;;;;;;;;;;;;;;;;;;;1;26
26;;;;;;;;;;;;;;;;;;;;;;;;;1;27
27;;;;;;;;;;;;;;;;;;;;;;;;;1;28
28;;;;;;;;;;;;;;;;;;;;;;;;;1;29
29;;;;;;;;;;;;;;;;;;;;;;;;;1;30
30;;;;;;;;;;;;;;;;;;;;;;;;;1;31
31;;;;;;;;;;;;;;;;;;;;;;;;;1;32
32;;;;;;;;;;;;;;;;;;;;;;;;;1;33
33;;;;;;;;;;;;;;;;;;;;;;;;;1;34
34;;;;;;;;;;;;;;;;;;;;;;;;;1;35
35;;;;;;;;;;;;;;;;;;;;;;;;;1;36
36;;;;;;;;;;;;;;;;;;;;;;;;;1;37
37;;;;;;;;;;;;;;;;;;;;;;;;;1;38
38;;;;;;;;;;;;;;;;;;;;;;;;;1;39
39;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""620dfd70dc71b952de679b77bc49905f""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;40
40;;;;;;;;;;;;;;;;;;;;;;;;;1;41
41;;;;;;;;;;;;;;;;;;;;;;;;;1;42
42;;;;;;;;;;;;;;;;;;;;;;;;;1;43
43;;;;;;;;;;;;;;;;;;;;;;;;;1;44
44;;;;;;;;;;;;;;;;;;;;;;;;;1;45
45;;Now executing Stand Still;;;Now executing Stand Still;;;Now executing Stand Still;;;Now executing Stand Still;;;Now executing Stand Still;;;Now executing Stand Still;;;Now executing Stand Still;;Now executing Stand Still;;"{""content"": ""Now executing Stand Still"", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""1305365a969cae5d1c256f40bfe4d47c""}";1;46
46;;;;;;;;;;;;;;;;;;;;;;;;;1;47
47;;;;;;;;;;;;;;;;;;;;;;;;;1;48
48;;;;;;;;;;;;;;;;;;;;;;;;;1;49
49;;;;;;;;;;;;;;;;;;;;;;;;;1;50
50;;;;;;;;;;;;;;;;;;;;;;;;;1;51
51;;;;;;;;;;;;;;;;;;;;;;;;;1;52
52;;;;;;;;;;;;;;;;;;;;;;;;;1;53
53;;;;;;;;;;;;;;;;;;;;;;;;;1;54
54;;;;;;;;;;;;;;;;;;;;;;;;;1;55
55;;;;;;;;;;;;;;;;;;;;;;;;;1;56
56;;;;;;;;;;;;;;;;;;;;;;;;;1;57
57;;;;;;;;;;;;;;;;;;;;;;;;;1;58
58;;;;;;;;;;;;;;;;;;;;;;;;;1;59
59;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""88acaf96bced18b9442910c0c36335e7""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;60
