human_selector_action;human_selector_location;robot_action;robot_location;robot_executing_cp;world_nr;tick_nr
;(3, 4);;(4, 4);False;1;0
;(3, 4);;(4, 4);False;1;1
;(3, 4);;(4, 4);CP_known;1;2
;(3, 4);;(4, 4);CP_known;1;3
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;4
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;5
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;6
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;7
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;8
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;9
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;10
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;11
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;12
;(3, 4);MoveNorthEast;(4, 4);CP_known;1;13
;(3, 4);MoveNorthEast;(5, 3);CP_known;1;14
;(3, 4);MoveEast;(5, 3);CP_known;1;15
;(3, 4);MoveEast;(5, 3);CP_known;1;16
;(3, 4);MoveEast;(5, 3);CP_known;1;17
;(3, 4);MoveEast;(5, 3);CP_known;1;18
;(3, 4);MoveEast;(5, 3);CP_known;1;19
;(3, 4);MoveEast;(5, 3);CP_known;1;20
;(3, 4);MoveEast;(5, 3);CP_known;1;21
;(3, 4);MoveEast;(5, 3);CP_known;1;22
;(3, 4);MoveEast;(5, 3);CP_known;1;23
;(3, 4);MoveEast;(5, 3);CP_known;1;24
;(3, 4);MoveEast;(6, 3);CP_known;1;25
;(3, 4);MoveNorthEast;(6, 3);CP_known;1;26
;(3, 4);MoveNorthEast;(6, 3);CP_known;1;27
MoveEast;(4, 4);MoveNorthEast;(6, 3);CP_known;1;28
;(4, 4);MoveNorthEast;(6, 3);CP_known;1;29
;(4, 4);MoveNorthEast;(6, 3);CP_known;1;30
;(4, 4);MoveNorthEast;(6, 3);CP_known;1;31
MoveEast;(5, 4);MoveNorthEast;(6, 3);CP_known;1;32
;(5, 4);MoveNorthEast;(6, 3);CP_known;1;33
;(5, 4);MoveNorthEast;(6, 3);CP_known;1;34
;(5, 4);MoveNorthEast;(6, 3);CP_known;1;35
;(5, 4);MoveNorthEast;(7, 2);CP_known;1;36
;(5, 4);GrabLargeObject;(7, 2);CP_known;1;37
;(5, 4);GrabLargeObject;(7, 2);CP_known;1;38
MoveEast;(6, 4);GrabLargeObject;(7, 2);CP_known;1;39
;(6, 4);GrabLargeObject;(7, 2);CP_known;1;40
;(6, 4);GrabLargeObject;(7, 2);CP_known;1;41
;(6, 4);GrabLargeObject;(7, 2);CP_known;1;42
MoveEast;(7, 4);GrabLargeObject;(7, 2);CP_known;1;43
;(7, 4);GrabLargeObject;(7, 2);CP_known;1;44
;(7, 4);GrabLargeObject;(7, 2);CP_known;1;45
;(7, 4);GrabLargeObject;(7, 2);CP_known;1;46
;(7, 4);GrabLargeObject;(7, 2);CP_known;1;47
;(7, 4);;(7, 2);CP_known;1;48
