correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'CP_known2', 'delete': 'True'};I will now follow the Collaboration Pattern CP_known.;"{""content"": {""name"": ""CP_known2"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""7e434c3d4034267b675798bec90c16ce""}";;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;;I will now follow the Collaboration Pattern CP_known.;;I will now follow the Collaboration Pattern CP_known.;{'name': 'CP_known2', 'delete': 'True'};"{""content"": ""I will now follow the Collaboration Pattern CP_known."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""383b747bf14780a85dd85a7b1d63d4d7""}";1;1
1;;{'cp_delete': 'CP_known1', 'html': None};;;{'cp_delete': 'CP_known1', 'html': None};;;{'cp_delete': 'CP_known1', 'html': None};;;{'cp_delete': 'CP_known1', 'html': None};;;{'cp_delete': 'CP_known1', 'html': None};;;{'cp_delete': 'CP_known1', 'html': None};;{'cp_delete': 'CP_known1', 'html': None};;"{""content"": {""cp_delete"": ""CP_known1"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""a075ebcea0de8974776cc96fdde77579""}";;{'cp_delete': 'CP_known1', 'html': None};;1;2
2;;{'cp_delete': 'CP_known2', 'html': None};;;{'cp_delete': 'CP_known2', 'html': None};;;{'cp_delete': 'CP_known2', 'html': None};;;{'cp_delete': 'CP_known2', 'html': None};;;{'cp_delete': 'CP_known2', 'html': None};;;{'cp_delete': 'CP_known2', 'html': None};;{'cp_delete': 'CP_known2', 'html': None};;"{""content"": {""cp_delete"": ""CP_known2"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""89f0c6f95c02c53d208550274664747""}";;{'cp_delete': 'CP_known2', 'html': None};;1;3
3;;;;;;;;;;;;;;;;;;;;;;;;;1;4
4;;;;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
