human_selector_action;human_selector_location;robot_action;robot_location;robot_executing_cp;world_nr;tick_nr
;(3, 4);;(4, 4);False;1;0
;(3, 4);;(4, 4);False;1;1
;(3, 4);MoveEast;(4, 4);False;1;2
;(3, 4);MoveEast;(4, 4);False;1;3
;(3, 4);MoveEast;(4, 4);False;1;4
;(3, 4);MoveEast;(4, 4);False;1;5
;(3, 4);MoveEast;(4, 4);False;1;6
;(3, 4);MoveEast;(4, 4);False;1;7
;(3, 4);MoveEast;(4, 4);False;1;8
;(3, 4);MoveEast;(4, 4);False;1;9
;(3, 4);MoveEast;(4, 4);False;1;10
;(3, 4);MoveEast;(4, 4);False;1;11
;(3, 4);MoveEast;(5, 4);False;1;12
;(3, 4);;(5, 4);False;1;13
;(3, 4);;(5, 4);CP_known;1;14
;(3, 4);;(5, 4);CP_known;1;15
;(3, 4);;(5, 4);CP_known;1;16
;(3, 4);;(5, 4);CP_known;1;17
;(3, 4);;(5, 4);CP_known;1;18
;(3, 4);;(5, 4);CP_known;1;19
;(3, 4);;(5, 4);CP_known;1;20
;(3, 4);;(5, 4);CP_known;1;21
;(3, 4);;(5, 4);CP_known;1;22
;(3, 4);;(5, 4);CP_known;1;23
MoveEast;(4, 4);;(5, 4);CP_known;1;24
;(4, 4);;(5, 4);CP_known;1;25
;(4, 4);;(5, 4);CP_known;1;26
;(4, 4);;(5, 4);CP_known;1;27
;(4, 4);;(5, 4);CP_known;1;28
;(4, 4);;(5, 4);CP_known;1;29
;(4, 4);;(5, 4);CP_known;1;30
;(4, 4);;(5, 4);CP_known;1;31
;(4, 4);;(5, 4);CP_known;1;32
MoveNorth;(4, 3);;(5, 4);CP_known;1;33
;(4, 3);;(5, 4);CP_known;1;34
;(4, 3);;(5, 4);CP_known;1;35
;(4, 3);;(5, 4);CP_known;1;36
;(4, 3);;(5, 4);CP_known;1;37
;(4, 3);;(5, 4);CP_known;1;38
;(4, 3);;(5, 4);CP_known;1;39
;(4, 3);;(5, 4);CP_known;1;40
;(4, 3);;(5, 4);CP_known;1;41
;(4, 3);;(5, 4);CP_known;1;42
;(4, 3);;(5, 4);CP_known;1;43
;(4, 3);;(5, 4);CP_known;1;44
;(4, 3);;(5, 4);CP_known;1;45
MoveEast;(5, 3);;(5, 4);CP_known;1;46
;(5, 3);;(5, 4);CP_known;1;47
;(5, 3);;(5, 4);CP_known;1;48
MoveEast;(6, 3);;(5, 4);CP_known;1;49
;(6, 3);;(5, 4);CP_known;1;50
;(6, 3);;(5, 4);CP_known;1;51
;(6, 3);;(5, 4);CP_known;1;52
;(6, 3);;(5, 4);CP_known;1;53
;(6, 3);;(5, 4);CP_known;1;54
;(6, 3);;(5, 4);CP_known;1;55
;(6, 3);;(5, 4);CP_known;1;56
MoveEast;(7, 3);;(5, 4);CP_known;1;57
;(7, 3);;(5, 4);CP_known;1;58
;(7, 3);;(5, 4);CP_known;1;59
;(7, 3);;(5, 4);CP_known;1;60
;(7, 3);;(5, 4);CP_known;1;61
