correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;;I will now follow the Collaboration Pattern Breaking.;;I will now follow the Collaboration Pattern Breaking.;;"{""content"": ""I will now follow the Collaboration Pattern Breaking."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""9411328c1460698a07138b3daf8f02b8""}";1;1
1;;;;;;;;;;;;;;;;;;;;;;;;;1;2
2;;;;;;;;;;;;;;;;;;;;;;;;;1;3
3;;;;;;;;;;;;;;;;;;;;;;;;;1;4
4;;;;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;{'name': 'Breaking', 'delete': 'True'};;"{""content"": {""name"": ""Breaking"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""64f51c54de4789eed8b474ba7a9655a6""}";;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;;{'name': 'Breaking', 'delete': 'True'};;1;7
7;;{'cp_delete': 'Breaking', 'html': None};;;{'cp_delete': 'Breaking', 'html': None};;;{'cp_delete': 'Breaking', 'html': None};;;{'cp_delete': 'Breaking', 'html': None};;;{'cp_delete': 'Breaking', 'html': None};;;{'cp_delete': 'Breaking', 'html': None};;{'cp_delete': 'Breaking', 'html': None};;"{""content"": {""cp_delete"": ""Breaking"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""39f5310c984da66a68724b7d48a740c4""}";;{'cp_delete': 'Breaking', 'html': None};;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
