human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
MoveSouth;(3, 5);1;1
;(3, 5);1;2
MoveEast;(4, 5);1;3
;(4, 5);1;4
;(4, 5);1;5
;(4, 5);1;6
;(4, 5);1;7
;(4, 5);1;8
;(4, 5);1;9
;(4, 5);1;10
;(4, 5);1;11
;(4, 5);1;12
;(4, 5);1;13
;(4, 5);1;14
;(4, 5);1;15
MoveSouth;(4, 6);1;16
;(4, 6);1;17
;(4, 6);1;18
;(4, 6);1;19
;(4, 6);1;20
;(4, 6);1;21
;(4, 6);1;22
;(4, 6);1;23
;(4, 6);1;24
;(4, 6);1;25
;(4, 6);1;26
;(4, 6);1;27
;(4, 6);1;28
;(4, 6);1;29
;(4, 6);1;30
MoveEast;(5, 6);1;31
;(5, 6);1;32
;(5, 6);1;33
;(5, 6);1;34
;(5, 6);1;35
;(5, 6);1;36
;(5, 6);1;37
;(5, 6);1;38
;(5, 6);1;39
;(5, 6);1;40
MoveEast;(6, 6);1;41
;(6, 6);1;42
;(6, 6);1;43
;(6, 6);1;44
;(6, 6);1;45
MoveEast;(7, 6);1;46
;(7, 6);1;47
;(7, 6);1;48
;(7, 6);1;49
;(7, 6);1;50
;(7, 6);1;51
;(7, 6);1;52
MoveEast;(8, 6);1;53
;(8, 6);1;54
;(8, 6);1;55
;(8, 6);1;56
MoveEast;(9, 6);1;57
;(9, 6);1;58
;(9, 6);1;59
;(9, 6);1;60
;(9, 6);1;61
;(9, 6);1;62
;(9, 6);1;63
;(9, 6);1;64
;(9, 6);1;65
;(9, 6);1;66
;(9, 6);1;67
;(9, 6);1;68
;(9, 6);1;69
;(9, 6);1;70
;(9, 6);1;71
GrabObject;(9, 6);1;72
;(9, 6);1;73
;(9, 6);1;74
;(9, 6);1;75
;(9, 6);1;76
;(9, 6);1;77
;(9, 6);1;78
;(9, 6);1;79
;(9, 6);1;80
;(9, 6);1;81
;(9, 6);1;82
;(9, 6);1;83
;(9, 6);1;84
;(9, 6);1;85
;(9, 6);1;86
;(9, 6);1;87
;(9, 6);1;88
;(9, 6);1;89
;(9, 6);1;90
;(9, 6);1;91
;(9, 6);1;92
;(9, 6);1;93
;(9, 6);1;94
;(9, 6);1;95
;(9, 6);1;96
;(9, 6);1;97
MoveWest;(8, 6);1;98
;(8, 6);1;99
;(8, 6);1;100
;(8, 6);1;101
;(8, 6);1;102
;(8, 6);1;103
MoveWest;(7, 6);1;104
;(7, 6);1;105
;(7, 6);1;106
;(7, 6);1;107
;(7, 6);1;108
MoveWest;(6, 6);1;109
;(6, 6);1;110
;(6, 6);1;111
MoveWest;(5, 6);1;112
;(5, 6);1;113
;(5, 6);1;114
;(5, 6);1;115
;(5, 6);1;116
MoveWest;(4, 6);1;117
;(4, 6);1;118
;(4, 6);1;119
;(4, 6);1;120
MoveWest;(3, 6);1;121
;(3, 6);1;122
;(3, 6);1;123
;(3, 6);1;124
;(3, 6);1;125
;(3, 6);1;126
;(3, 6);1;127
;(3, 6);1;128
;(3, 6);1;129
MoveSouth;(3, 7);1;130
;(3, 7);1;131
;(3, 7);1;132
;(3, 7);1;133
;(3, 7);1;134
