human_selector_action;human_selector_location;robot_action;robot_location;robot_executing_cp;world_nr;tick_nr
;(3, 4);;(4, 4);False;1;0
MoveEast;(4, 4);;(4, 4);False;1;1
;(4, 4);;(4, 4);CP_known;1;2
;(4, 4);;(4, 4);CP_known;1;3
MoveEast;(5, 4);MoveEast;(4, 4);CP_known;1;4
;(5, 4);MoveEast;(4, 4);CP_known;1;5
MoveEast;(6, 4);MoveEast;(4, 4);CP_known;1;6
;(6, 4);MoveEast;(4, 4);CP_known;1;7
;(6, 4);MoveEast;(4, 4);CP_known;1;8
;(6, 4);MoveEast;(4, 4);CP_known;1;9
;(6, 4);MoveEast;(4, 4);CP_known;1;10
;(6, 4);MoveEast;(4, 4);CP_known;1;11
;(6, 4);MoveEast;(4, 4);CP_known;1;12
;(6, 4);MoveEast;(4, 4);CP_known;1;13
;(6, 4);MoveEast;(5, 4);CP_known;1;14
;(6, 4);MoveEast;(5, 4);CP_known;1;15
;(6, 4);MoveEast;(5, 4);CP_known;1;16
;(6, 4);MoveEast;(5, 4);CP_known;1;17
;(6, 4);MoveEast;(5, 4);CP_known;1;18
MoveEast;(7, 4);MoveEast;(5, 4);CP_known;1;19
;(7, 4);MoveEast;(5, 4);CP_known;1;20
;(7, 4);MoveEast;(5, 4);CP_known;1;21
;(7, 4);MoveEast;(5, 4);CP_known;1;22
MoveEast;(8, 4);MoveEast;(5, 4);CP_known;1;23
;(8, 4);MoveEast;(5, 4);CP_known;1;24
;(8, 4);MoveEast;(6, 4);CP_known;1;25
;(8, 4);MoveEast;(6, 4);CP_known;1;26
;(8, 4);MoveEast;(6, 4);CP_known;1;27
;(8, 4);MoveEast;(6, 4);CP_known;1;28
;(8, 4);MoveEast;(6, 4);CP_known;1;29
;(8, 4);MoveEast;(6, 4);CP_known;1;30
;(8, 4);MoveEast;(6, 4);CP_known;1;31
;(8, 4);MoveEast;(6, 4);CP_known;1;32
;(8, 4);MoveEast;(6, 4);CP_known;1;33
;(8, 4);MoveEast;(6, 4);CP_known;1;34
;(8, 4);MoveEast;(6, 4);CP_known;1;35
;(8, 4);MoveEast;(7, 4);CP_known;1;36
;(8, 4);MoveEast;(7, 4);CP_known;1;37
;(8, 4);MoveEast;(7, 4);CP_known;1;38
;(8, 4);MoveEast;(7, 4);CP_known;1;39
MoveNorth;(8, 3);MoveEast;(7, 4);CP_known;1;40
;(8, 3);MoveEast;(7, 4);CP_known;1;41
;(8, 3);MoveEast;(7, 4);CP_known;1;42
MoveEast;(9, 3);MoveEast;(7, 4);CP_known;1;43
;(9, 3);MoveEast;(7, 4);CP_known;1;44
;(9, 3);MoveEast;(7, 4);CP_known;1;45
;(9, 3);MoveEast;(7, 4);CP_known;1;46
;(9, 3);MoveEast;(8, 4);CP_known;1;47
;(9, 3);BreakObject;(8, 4);CP_known;1;48
;(9, 3);BreakObject;(8, 4);CP_known;1;49
;(9, 3);BreakObject;(8, 4);CP_known;1;50
;(9, 3);BreakObject;(8, 4);CP_known;1;51
;(9, 3);BreakObject;(8, 4);CP_known;1;52
;(9, 3);BreakObject;(8, 4);CP_known;1;53
MoveWest;(8, 3);BreakObject;(8, 4);CP_known;1;54
;(8, 3);BreakObject;(8, 4);CP_known;1;55
;(8, 3);BreakObject;(8, 4);CP_known;1;56
MoveWest;(7, 3);BreakObject;(8, 4);CP_known;1;57
;(7, 3);BreakObject;(8, 4);CP_known;1;58
;(7, 3);;(8, 4);CP_known;1;59
MoveWest;(6, 3);;(8, 4);False;1;60
;(6, 3);Idle;(8, 4);False;1;61
MoveWest;(5, 3);Idle;(8, 4);False;1;62
;(5, 3);Idle;(8, 4);False;1;63
;(5, 3);Idle;(8, 4);False;1;64
MoveWest;(4, 3);Idle;(8, 4);False;1;65
;(4, 3);Idle;(8, 4);False;1;66
;(4, 3);Idle;(8, 4);False;1;67
GrabObject;(4, 3);Idle;(8, 4);False;1;68
;(4, 3);Idle;(8, 4);False;1;69
;(4, 3);Idle;(8, 4);False;1;70
;(4, 3);Idle;(8, 4);False;1;71
;(4, 3);Idle;(8, 4);False;1;72
;(4, 3);Idle;(8, 4);False;1;73
MoveEast;(5, 3);Idle;(8, 4);False;1;74
;(5, 3);Idle;(8, 4);False;1;75
;(5, 3);Idle;(8, 4);False;1;76
MoveEast;(6, 3);Idle;(8, 4);False;1;77
;(6, 3);Idle;(8, 4);False;1;78
;(6, 3);Idle;(8, 4);False;1;79
MoveEast;(7, 3);Idle;(8, 4);False;1;80
;(7, 3);Idle;(8, 4);False;1;81
;(7, 3);Idle;(8, 4);False;1;82
;(7, 3);Idle;(8, 4);False;1;83
MoveEast;(8, 3);Idle;(8, 4);False;1;84
;(8, 3);Idle;(8, 4);False;1;85
;(8, 3);Idle;(8, 4);False;1;86
;(8, 3);Idle;(8, 4);False;1;87
;(8, 3);Idle;(8, 4);False;1;88
GrabObject;(8, 3);Idle;(8, 4);False;1;89
;(8, 3);Idle;(8, 4);False;1;90
;(8, 3);Idle;(8, 4);False;1;91
MoveWest;(7, 3);Idle;(8, 4);False;1;92
;(7, 3);Idle;(8, 4);False;1;93
MoveWest;(6, 3);Idle;(8, 4);False;1;94
;(6, 3);Idle;(8, 4);False;1;95
MoveWest;(5, 3);Idle;(8, 4);False;1;96
;(5, 3);Idle;(8, 4);False;1;97
;(5, 3);Idle;(8, 4);False;1;98
;(5, 3);Idle;(8, 4);False;1;99
MoveWest;(4, 3);Idle;(8, 4);False;1;100
;(4, 3);Idle;(8, 4);False;1;101
;(4, 3);Idle;(8, 4);False;1;102
;(4, 3);Idle;(8, 4);False;1;103
MoveEast;(5, 3);Idle;(8, 4);False;1;104
;(5, 3);Idle;(8, 4);False;1;105
;(5, 3);Idle;(8, 4);False;1;106
;(5, 3);Idle;(8, 4);False;1;107
;(5, 3);Idle;(8, 4);False;1;108
;(5, 3);Idle;(8, 4);False;1;109
;(5, 3);Idle;(8, 4);False;1;110
;(5, 3);Idle;(8, 4);False;1;111
DropObject;(5, 3);Idle;(8, 4);False;1;112
;(5, 3);Idle;(8, 4);False;1;113
;(5, 3);Idle;(8, 4);False;1;114
;(5, 3);Idle;(8, 4);False;1;115
;(5, 3);;(8, 4);False;1;116
MoveWest;(4, 3);Idle;(8, 4);False;1;117
;(4, 3);Idle;(8, 4);False;1;118
;(4, 3);Idle;(8, 4);False;1;119
;(4, 3);Idle;(8, 4);False;1;120
MoveEast;(5, 3);Idle;(8, 4);False;1;121
;(5, 3);Idle;(8, 4);False;1;122
;(5, 3);Idle;(8, 4);False;1;123
MoveEast;(6, 3);Idle;(8, 4);False;1;124
;(6, 3);Idle;(8, 4);False;1;125
;(6, 3);Idle;(8, 4);False;1;126
;(6, 3);Idle;(8, 4);False;1;127
;(6, 3);Idle;(8, 4);False;1;128
MoveEast;(7, 3);Idle;(8, 4);False;1;129
MoveEast;(8, 3);Idle;(8, 4);False;1;130
;(8, 3);Idle;(8, 4);False;1;131
;(8, 3);Idle;(8, 4);False;1;132
;(8, 3);Idle;(8, 4);False;1;133
;(8, 3);Idle;(8, 4);False;1;134
;(8, 3);Idle;(8, 4);False;1;135
;(8, 3);Idle;(8, 4);False;1;136
;(8, 3);Idle;(8, 4);False;1;137
;(8, 3);Idle;(8, 4);False;1;138
;(8, 3);Idle;(8, 4);False;1;139
;(8, 3);Idle;(8, 4);False;1;140
;(8, 3);Idle;(8, 4);False;1;141
;(8, 3);Idle;(8, 4);False;1;142
;(8, 3);Idle;(8, 4);False;1;143
MoveEast;(9, 3);Idle;(8, 4);False;1;144
;(9, 3);Idle;(8, 4);False;1;145
;(9, 3);Idle;(8, 4);False;1;146
GrabObject;(9, 3);Idle;(8, 4);False;1;147
;(9, 3);Idle;(8, 4);False;1;148
MoveWest;(8, 3);Idle;(8, 4);False;1;149
;(8, 3);Idle;(8, 4);False;1;150
;(8, 3);Idle;(8, 4);False;1;151
;(8, 3);Idle;(8, 4);False;1;152
MoveWest;(7, 3);Idle;(8, 4);False;1;153
MoveWest;(6, 3);Idle;(8, 4);False;1;154
;(6, 3);Idle;(8, 4);False;1;155
;(6, 3);Idle;(8, 4);False;1;156
MoveWest;(5, 3);Idle;(8, 4);False;1;157
;(5, 3);Idle;(8, 4);False;1;158
;(5, 3);Idle;(8, 4);False;1;159
MoveWest;(4, 3);Idle;(8, 4);False;1;160
;(4, 3);Idle;(8, 4);False;1;161
;(4, 3);Idle;(8, 4);False;1;162
MoveWest;(3, 3);Idle;(8, 4);False;1;163
;(3, 3);Idle;(8, 4);False;1;164
;(3, 3);Idle;(8, 4);False;1;165
;(3, 3);Idle;(8, 4);False;1;166
DropObject;(3, 3);Idle;(8, 4);False;1;167
;(3, 3);Idle;(8, 4);False;1;168
MoveEast;(4, 3);Idle;(8, 4);False;1;169
;(4, 3);Idle;(8, 4);False;1;170
;(4, 3);Idle;(8, 4);False;1;171
MoveEast;(5, 3);;(8, 4);False;1;172
;(5, 3);Idle;(8, 4);False;1;173
MoveEast;(6, 3);Idle;(8, 4);False;1;174
;(6, 3);Idle;(8, 4);False;1;175
;(6, 3);Idle;(8, 4);False;1;176
MoveEast;(7, 3);Idle;(8, 4);False;1;177
;(7, 3);Idle;(8, 4);False;1;178
;(7, 3);Idle;(8, 4);False;1;179
MoveEast;(8, 3);Idle;(8, 4);False;1;180
;(8, 3);Idle;(8, 4);False;1;181
;(8, 3);Idle;(8, 4);False;1;182
MoveEast;(9, 3);Idle;(8, 4);False;1;183
;(9, 3);Idle;(8, 4);False;1;184
MoveEast;(10, 3);Idle;(8, 4);False;1;185
;(10, 3);Idle;(8, 4);False;1;186
;(10, 3);Idle;(8, 4);False;1;187
;(10, 3);Idle;(8, 4);False;1;188
;(10, 3);Idle;(8, 4);False;1;189
;(10, 3);Idle;(8, 4);False;1;190
;(10, 3);Idle;(8, 4);False;1;191
;(10, 3);Idle;(8, 4);False;1;192
;(10, 3);Idle;(8, 4);False;1;193
GrabObject;(10, 3);Idle;(8, 4);False;1;194
;(10, 3);;(8, 4);False;1;195
MoveWest;(9, 3);;(8, 4);CP_known;1;196
;(9, 3);;(8, 4);CP_known;1;197
MoveWest;(8, 3);MoveEast;(8, 4);CP_known;1;198
;(8, 3);MoveEast;(8, 4);CP_known;1;199
;(8, 3);MoveEast;(8, 4);CP_known;1;200
MoveWest;(7, 3);MoveEast;(8, 4);CP_known;1;201
;(7, 3);MoveEast;(8, 4);CP_known;1;202
MoveWest;(6, 3);MoveEast;(8, 4);CP_known;1;203
;(6, 3);MoveEast;(8, 4);CP_known;1;204
;(6, 3);MoveEast;(8, 4);CP_known;1;205
MoveWest;(5, 3);MoveEast;(8, 4);CP_known;1;206
;(5, 3);MoveEast;(8, 4);CP_known;1;207
;(5, 3);MoveEast;(9, 4);CP_known;1;208
MoveWest;(4, 3);BreakObject;(9, 4);CP_known;1;209
;(4, 3);BreakObject;(9, 4);CP_known;1;210
;(4, 3);BreakObject;(9, 4);CP_known;1;211
;(4, 3);BreakObject;(9, 4);CP_known;1;212
DropObject;(4, 3);BreakObject;(9, 4);CP_known;1;213
;(4, 3);BreakObject;(9, 4);CP_known;1;214
;(4, 3);BreakObject;(9, 4);CP_known;1;215
MoveEast;(5, 3);BreakObject;(9, 4);CP_known;1;216
;(5, 3);BreakObject;(9, 4);CP_known;1;217
;(5, 3);BreakObject;(9, 4);CP_known;1;218
MoveEast;(6, 3);BreakObject;(9, 4);CP_known;1;219
;(6, 3);;(9, 4);CP_known;1;220
;(6, 3);;(9, 4);False;1;221
;(6, 3);Idle;(9, 4);False;1;222
;(6, 3);Idle;(9, 4);False;1;223
MoveSouth;(6, 4);Idle;(9, 4);False;1;224
;(6, 4);Idle;(9, 4);False;1;225
;(6, 4);Idle;(9, 4);False;1;226
