correct_tick;human_selector_sent;human_selector_received;human_selector_mssg_json;human_sent;human_received;human_mssg_json;machine_sent;machine_received;machine_mssg_json;victim_sent;victim_received;victim_mssg_json;gravitygod_sent;gravitygod_received;gravitygod_mssg_json;rewardgod_sent;rewardgod_received;rewardgod_mssg_json;ontologygod_sent;ontologygod_received;ontologygod_mssg_json;robot_sent;robot_received;robot_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;;;;1;0
0;{'name': 'Round 7', 'delete': 'True'};I will now follow the Collaboration Pattern Round 2.;"{""content"": {""name"": ""Round 7"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""5df7d615761c3d9ce185975a398b5417""}";;I will now follow the Collaboration Pattern Round 2.;;;I will now follow the Collaboration Pattern Round 2.;;;I will now follow the Collaboration Pattern Round 2.;;;I will now follow the Collaboration Pattern Round 2.;;;I will now follow the Collaboration Pattern Round 2.;;;I will now follow the Collaboration Pattern Round 2.;;I will now follow the Collaboration Pattern Round 2.;{'name': 'Round 7', 'delete': 'True'};"{""content"": ""I will now follow the Collaboration Pattern Round 2."", ""from_id"": ""robot"", ""to_id"": ""ontologygod"", ""message_id"": ""195a1f8e694868a61afeedf3d57a5e38""}";1;1
1;;{'cp_delete': 'Round 6', 'html': None};;;{'cp_delete': 'Round 6', 'html': None};;;{'cp_delete': 'Round 6', 'html': None};;;{'cp_delete': 'Round 6', 'html': None};;;{'cp_delete': 'Round 6', 'html': None};;;{'cp_delete': 'Round 6', 'html': None};;{'cp_delete': 'Round 6', 'html': None};;"{""content"": {""cp_delete"": ""Round 6"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""f8170754e977a8ecaefb148fbf0b37c9""}";;{'cp_delete': 'Round 6', 'html': None};;1;2
2;;{'cp_delete': 'Round 7', 'html': None};;;{'cp_delete': 'Round 7', 'html': None};;;{'cp_delete': 'Round 7', 'html': None};;;{'cp_delete': 'Round 7', 'html': None};;;{'cp_delete': 'Round 7', 'html': None};;;{'cp_delete': 'Round 7', 'html': None};;{'cp_delete': 'Round 7', 'html': None};;"{""content"": {""cp_delete"": ""Round 7"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""880f3bff8a1322758f90abb506a4c531""}";;{'cp_delete': 'Round 7', 'html': None};;1;3
3;;{'cp_delete': 'Round 5', 'html': None};;;{'cp_delete': 'Round 5', 'html': None};;;{'cp_delete': 'Round 5', 'html': None};;;{'cp_delete': 'Round 5', 'html': None};;;{'cp_delete': 'Round 5', 'html': None};;;{'cp_delete': 'Round 5', 'html': None};;{'cp_delete': 'Round 5', 'html': None};;"{""content"": {""cp_delete"": ""Round 5"", ""html"": null}, ""from_id"": ""ontologygod"", ""to_id"": ""robot"", ""message_id"": ""1e90c5bbd83b04ad25dff75b26dee7d3""}";;{'cp_delete': 'Round 5', 'html': None};;1;4
4;;;;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;;;;;;;;;;;;;;;;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;;;;;;;;;;;;;;;;;;;;;1;9
9;;;;;;;;;;;;;;;;;;;;;;;;;1;10
10;;;;;;;;;;;;;;;;;;;;;;;;;1;11
11;;;;;;;;;;;;;;;;;;;;;;;;;1;12
12;;;;;;;;;;;;;;;;;;;;;;;;;1;13
13;;;;;;;;;;;;;;;;;;;;;;;;;1;14
14;;;;;;;;;;;;;;;;;;;;;;;;;1;15
15;;;;;;;;;;;;;;;;;;;;;;;;;1;16
16;;;;;;;;;;;;;;;;;;;;;;;;;1;17
17;;;;;;;;;;;;;;;;;;;;;;;;;1;18
18;;;;;;;;;;;;;;;;;;;;;;;;;1;19
19;{'past_action': ['Stand still', ['Left side of field']]};;"{""content"": {""past_action"": [""Stand still"", [""Left side of field""]]}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""4ba696edcb3ebf91433b0a6c45ba30d0""}";;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;;{'past_action': ['Stand still', ['Left side of field']]};;1;20
20;;;;;;;;;;;;;;;;;;;;;;;;;1;21
21;;;;;;;;;;;;;;;;;;;;;;;;;1;22
22;;;;;;;;;;;;;;;;;;;;;;;;;1;23
23;;;;;;;;;;;;;;;;;;;;;;;;;1;24
24;;;;;;;;;;;;;;;;;;;;;;;;;1;25
25;;;;;;;;;;;;;;;;;;;;;;;;;1;26
26;{'name': 'Round 3', 'delete': 'True'};;"{""content"": {""name"": ""Round 3"", ""delete"": ""True""}, ""from_id"": ""human_selector"", ""to_id"": ""robot"", ""message_id"": ""fb43f9bdf0fc1321b889aced467542bc""}";;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;;{'name': 'Round 3', 'delete': 'True'};;1;27
